Transaction ID,Date,Product Category,Product Name ,Units Sold,Unit Price,Total Revenue,Region,Payment Method
10099,08/04/2024,Clothing,Gap Essential Crewneck T-Shirt,6,1999,11994,Asia,Debit Card
10100,09/04/2024,Books,The Power of Now by Eckhart Tolle,2,1299,2598,North America,Credit Card
10101,10/04/2024,Beauty Products,Kiehl's Midnight Recovery Concentrate,1,82,82,Europe,PayPal
10102,11/04/2024,Sports,Under Armour HOVR Sonic 4 Shoes,2,10999,21998,Asia,Credit Card
10103,12/04/2024,Electronics,Canon EOS R5 Camera,1,389999,389999,North America,Credit Card
10104,13/04/2024,Home Appliances,Shark IQ Robot Vacuum,2,34999,69998,Europe,PayPal
10105,14/04/2024,Clothing,H&M Slim Fit Jeans,3,3999,11997,Asia,Debit Card
10106,15/04/2024,Books,The Girl on the Train by Paula Hawkins,4,1099,4396,North America,Credit Card
10107,16/04/2024,Beauty Products,The Ordinary Niacinamide Serum,1,65,65,Europe,PayPal
10108,17/04/2024,Sports,Bowflex SelectTech 552 Dumbbells,1,39999,39999,Asia,Credit Card
10109,18/04/2024,Electronics,Google Nest Hub Max,2,22999,45998,North America,Credit Card
10110,19/04/2024,Home Appliances,Cuisinart Griddler Deluxe,1,15999,15999,Europe,PayPal
10111,20/04/2024,Clothing,Old Navy Relaxed-Fit T-Shirt,4,1499,5996,Asia,Debit Card
10112,21/04/2024,Books,Sapiens: A Brief History of Humankind by Yuval Noah Harari,2,1899,3798,North America,Credit Card
10113,22/04/2024,Beauty Products,Biore UV Aqua Rich Watery Essence Sunscreen,1,15,15,Europe,PayPal
10114,23/04/2024,Sports,Fitbit Versa 3,3,22995,68985,Asia,Credit Card
10115,24/04/2024,Electronics,Amazon Echo Show 10,1,24999,24999,North America,Credit Card
10116,25/04/2024,Home Appliances,Breville Smart Grill,2,29995,5999,Europe,PayPal
10117,26/04/2024,Clothing,Gap High Rise Skinny Jeans,3,4999,14997,Asia,Debit Card
10118,27/04/2024,Books,Atomic Habits by James Clear,4,1699,6796,North America,Credit Card
10119,28/04/2024,Beauty Products,CeraVe Hydrating Facial Cleanser,2,1499,2998,Europe,PayPal
10120,29/04/2024,Sports,YETI Hopper Flip Portable Cooler,1,24999,24999,Asia,Credit Card
10121,30/04/2024,Electronics,Apple iPad Air,2,59999,119998,North America,Credit Card
10122,01/05/2024,Home Appliances,Hamilton Beach FlexBrew Coffee Maker,1,8999,8999,Europe,PayPal
10123,02/05/2024,Clothing,Forever 21 Graphic Tee,5,1299,6495,Asia,Debit Card
10124,03/05/2024,Books,The Subtle Art of Not Giving a F*ck by Mark Manson,3,1499,4497,North America,Credit Card
10125,04/05/2024,Beauty Products,NARS Radiant Creamy Concealer,1,30,30,Europe,PayPal
10126,05/05/2024,Sports,Yeti Roadie 24 Cooler,1,19999,19999,Asia,Credit Card
10127,06/05/2024,Electronics,Sony PlayStation 5,1,49999,49999,North America,Credit Card
10128,07/05/2024,Home Appliances,Dyson Supersonic Hair Dryer,2,39999,79998,Europe,PayPal
10129,08/05/2024,Clothing,Lululemon Align Leggings,3,98,294,Asia,Debit Card
10130,09/05/2024,Books,The Four Agreements by Don Miguel Ruiz,2,899,1798,North America,Credit Card
10131,10/05/2024,Beauty Products,Fenty Beauty Killawatt Highlighter,1,36,36,Europe,PayPal
10132,11/05/2024,Sports,Hydro Flask Wide Mouth Water Bottle,4,3995,1598,Asia,Credit Card
10133,12/05/2024,Electronics,Microsoft Surface Laptop 4,1,129999,129999,North America,Credit Card
10134,13/05/2024,Home Appliances,Keurig K-Mini Coffee Maker,2,7999,15998,Europe,PayPal
10135,14/05/2024,Clothing,Gap Crewneck Sweatshirt,4,3499,13996,Asia,Debit Card
10136,15/05/2024,Books,Think and Grow Rich by Napoleon Hill,3,999,2997,North America,Credit Card
10137,16/05/2024,Beauty Products,The Ordinary Hyaluronic Acid Serum,1,68,68,Europe,PayPal
10138,17/05/2024,Sports,Fitbit Inspire 2,2,9995,1999,Asia,Credit Card
10139,18/05/2024,Electronics,Samsung Odyssey G9 Gaming Monitor,1,149999,149999,North America,Credit Card
10140,19/05/2024,Home Appliances,Instant Pot Ultra,1,13999,13999,Europe,PayPal
10141,20/05/2024,Clothing,Adidas Essential Track Pants,3,4499,13497,Asia,Debit Card
10142,21/05/2024,Books,The Power of Habit by Charles Duhigg,2,1199,2398,North America,Credit Card
10143,22/05/2024,Beauty Products,Clinique Dramatically Different Moisturizing Lotion,1,295,295,Europe,PayPal
10144,23/05/2024,Sports,YETI Tundra 45 Cooler,1,29999,29999,Asia,Credit Card
10145,24/05/2024,Electronics,Apple AirPods Max,1,549,549,North America,Credit Card
10146,25/05/2024,Home Appliances,Cuisinart Coffee Center,2,19995,3999,Europe,PayPal
10147,26/05/2024,Clothing,Levi's Sherpa Trucker Jacket,2,98,196,Asia,Debit Card
10148,27/05/2024,Books,The Outsiders by S.E. Hinton,3,1099,3297,North America,Credit Card
10149,28/05/2024,Beauty Products,Laneige Water Sleeping Mask,1,25,25,Europe,PayPal
10150,29/05/2024,Sports,Bose SoundSport Wireless Earbuds,2,14999,29998,Asia,Credit Card
10151,30/05/2024,Electronics,Sony WH-1000XM4 Headphones,1,34999,34999,North America,Credit Card
10152,31/05/2024,Home Appliances,Ninja Foodi Pressure Cooker,2,19999,39998,Europe,PayPal
10153,01/06/2024,Clothing,Nike Sportswear Club Fleece Hoodie,3,5499,16497,Asia,Debit Card
10154,02/06/2024,Books,The Night Circus by Erin Morgenstern,2,1699,3398,North America,Credit Card
10155,03/06/2024,Beauty Products,GlamGlow Supermud Clearing Treatment,1,59,59,Europe,PayPal
10156,04/06/2024,Sports,Garmin Forerunner 245,1,29999,29999,Asia,Credit Card
10157,05/06/2024,Electronics,Google Pixel 6 Pro,1,89999,89999,North America,Credit Card
10158,06/06/2024,Home Appliances,Breville Nespresso Creatista Plus,1,49995,49995,Europe,PayPal
10159,07/06/2024,Clothing,Under Armour Tech 2.0 T-Shirt,4,2499,9996,Asia,Debit Card
10160,08/06/2024,Books,The Art of War by Sun Tzu,3,799,2397,North America,Credit Card
10161,09/06/2024,Beauty Products,Youth to the People Superfood Antioxidant Cleanser,1,36,36,Europe,PayPal
10162,10/06/2024,Sports,TriggerPoint GRID Foam Roller,2,3499,6998,Asia,Credit Card
10163,11/06/2024,Electronics,Apple MacBook Air,1,119999,119999,North America,Credit Card
10164,12/06/2024,Home Appliances,Cuisinart Custom 14-Cup Food Processor,1,19999,19999,Europe,PayPal
10165,13/06/2024,Clothing,Adidas 3-Stripes Shorts,5,2999,14995,Asia,Debit Card
10166,14/06/2024,Books,The Hunger Games by Suzanne Collins,4,899,3596,North America,Credit Card
10167,15/06/2024,Beauty Products,Neutrogena Hydro Boost Water Gel,1,1699,1699,Europe,PayPal
10168,16/06/2024,Sports,Yeti Rambler Bottle,3,4999,14997,Asia,Credit Card
10169,17/06/2024,Electronics,Samsung Odyssey G7 Gaming Monitor,1,69999,69999,North America,Credit Card
10170,18/06/2024,Home Appliances,Instant Pot Duo Evo Plus,2,13999,27998,Europe,PayPal
10171,19/06/2024,Clothing,Nike Tempo Running Shorts,3,3499,10497,Asia,Debit Card
10172,20/06/2024,Books,The Girl with the Dragon Tattoo by Stieg Larsson,2,999,1998,North America,Credit Card
10173,21/06/2024,Beauty Products,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,1,295,295,Europe,PayPal
10174,22/06/2024,Sports,Bowflex SelectTech 1090 Adjustable Dumbbells,1,69999,69999,Asia,Credit Card
10175,23/06/2024,Electronics,Amazon Fire TV Stick 4K,3,4999,14997,North America,Credit Card
10176,24/06/2024,Home Appliances,Crock-Pot 6-Quart Slow Cooker,2,4999,9998,Europe,PayPal
10177,25/06/2024,Clothing,Uniqlo Airism Mesh Boxer Briefs,4,149,596,Asia,Debit Card
10178,26/06/2024,Books,The Sun Also Rises by Ernest Hemingway,3,1199,3597,North America,Credit Card
10179,27/06/2024,Beauty Products,First Aid Beauty Ultra Repair Cream,2,34,68,Europe,PayPal
10180,28/06/2024,Sports,Oakley Holbrook Sunglasses,1,146,146,Asia,Credit Card
10181,29/06/2024,Electronics,Google Pixelbook Go,1,64999,64999,North America,Credit Card
10182,30/06/2024,Home Appliances,Dyson V8 Absolute,1,39999,39999,Europe,PayPal
10183,01/07/2024,Clothing,Levi's 511 Slim Fit Jeans,3,5999,17997,Asia,Debit Card
10184,02/07/2024,Books,The Martian by Andy Weir,2,1299,2598,North America,Credit Card
10185,03/07/2024,Beauty Products,La Mer Crème de la Mer Moisturizer,1,190,190,Europe,PayPal
10186,04/07/2024,Sports,Polar Vantage V2,1,49995,49995,Asia,Credit Card
10187,05/07/2024,Electronics,Sonos Beam Soundbar,1,399,399,North America,Credit Card
10188,06/07/2024,Home Appliances,Anova Precision Cooker,2,199,398,Europe,PayPal
10189,07/07/2024,Clothing,Nike Dri-FIT Training Shorts,4,3499,13996,Asia,Debit Card
10190,08/07/2024,Books,The Catcher in the Rye by J.D. Salinger,3,1099,3297,North America,Credit Card
10191,09/07/2024,Beauty Products,Glossier Cloud Paint,1,18,18,Europe,PayPal
10192,10/07/2024,Sports,TRX All-in-One Suspension Training System,1,16995,16995,Asia,Credit Card
10193,11/07/2024,Electronics,Logitech G Pro X Wireless Gaming Headset,1,19999,19999,North America,Credit Card
10194,12/07/2024,Home Appliances,Breville Smart Coffee Grinder Pro,1,19995,19995,Europe,PayPal
10195,13/07/2024,Clothing,Adidas Ultraboost Running Shoes,2,17999,35998,Asia,Debit Card
10196,14/07/2024,Books,The Road by Cormac McCarthy,2,1199,2398,North America,Credit Card
10197,15/07/2024,Beauty Products,Tom Ford Black Orchid Perfume,1,125,125,Europe,PayPal
10198,16/07/2024,Sports,GoPro HERO9 Black,1,44999,44999,Asia,Credit Card
10199,17/07/2024,Electronics,Apple TV 4K,2,179,358,North America,Credit Card
10200,18/07/2024,Home Appliances,Instant Pot Duo Nova,1,9995,9995,Europe,PayPal
10201,19/07/2024,Clothing,Gap 1969 Original Fit Jeans,3,5999,17997,Asia,Debit Card
10202,20/07/2024,Books,The Goldfinch by Donna Tartt,2,1499,2998,North America,Credit Card
10203,21/07/2024,Beauty Products,Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment,1,52,52,Europe,PayPal
10204,22/07/2024,Sports,Yeti Tundra Haul Portable Wheeled Cooler,1,39999,39999,Asia,Credit Card
10205,23/07/2024,Electronics,Samsung Galaxy Watch 4,1,29999,29999,North America,Credit Card
10206,24/07/2024,Home Appliances,KitchenAid Stand Mixer,1,37999,37999,Europe,PayPal
10207,25/07/2024,Clothing,Lululemon Wunder Under High-Rise Leggings,2,98,196,Asia,Debit Card
10208,26/07/2024,Books,The Great Alone by Kristin Hannah,3,1699,5097,North America,Credit Card
10209,27/07/2024,Beauty Products,Caudalie Vinoperfect Radiance Serum,1,79,79,Europe,PayPal
10210,28/07/2024,Sports,Bose SoundLink Color Bluetooth Speaker II,1,129,129,Asia,Credit Card
10211,29/07/2024,Electronics,Canon EOS Rebel T7i DSLR Camera,1,74999,74999,North America,Credit Card
10212,30/07/2024,Home Appliances,Keurig K-Elite Coffee Maker,2,16999,33998,Europe,PayPal
10213,31/07/2024,Clothing,Uniqlo Airism Seamless Boxer Briefs,4,99,396,Asia,Debit Card
10214,01/08/2024,Books,The Girl with the Dragon Tattoo by Stieg Larsson,3,1099,3297,North America,Credit Card
10215,02/08/2024,Beauty Products,L'Occitane Shea Butter Hand Cream,2,29,58,Europe,PayPal
10216,03/08/2024,Sports,YETI Tundra 65 Cooler,1,34999,34999,Asia,Credit Card
10217,04/08/2024,Electronics,Apple MacBook Pro 16-inch,1,2399,2399,North America,Credit Card
10218,05/08/2024,Home Appliances,iRobot Braava Jet M6,1,44999,44999,Europe,PayPal
10219,06/08/2024,Clothing,Champion Reverse Weave Hoodie,3,4999,14997,Asia,Debit Card
10220,07/08/2024,Books,The Nightingale by Kristin Hannah,2,1299,2598,North America,Credit Card
10221,08/08/2024,Beauty Products,Tarte Shape Tape Concealer,1,27,27,Europe,PayPal
10222,09/08/2024,Sports,Garmin Forerunner 945,1,59999,59999,Asia,Credit Card
10223,10/08/2024,Electronics,Amazon Echo Dot (4th Gen),4,4999,19996,North America,Credit Card
10224,11/08/2024,Home Appliances,Philips Sonicare DiamondClean Toothbrush,2,22999,45998,Europe,PayPal
10225,12/08/2024,Clothing,Old Navy Mid-Rise Rockstar Super Skinny Jeans,2,4499,8998,Asia,Debit Card
10226,13/08/2024,Books,The Silent Patient by Alex Michaelides,3,2699,8097,North America,Credit Card
10227,14/08/2024,Beauty Products,The Ordinary Caffeine Solution 5% + EGCG,1,67,67,Europe,PayPal
10228,15/08/2024,Sports,Fitbit Luxe,2,14995,2999,Asia,Credit Card
10229,16/08/2024,Electronics,Google Nest Wifi Router,1,169,169,North America,Credit Card
10230,17/08/2024,Home Appliances,Anova Precision Oven,1,599,599,Europe,PayPal
10231,18/08/2024,Clothing,Adidas Originals Trefoil Hoodie,4,6499,25996,Asia,Debit Card
10232,19/08/2024,Books,Dune by Frank Herbert,2,999,1998,North America,Credit Card
10233,20/08/2024,Beauty Products,Fresh Sugar Lip Treatment,1,24,24,Europe,PayPal
10234,21/08/2024,Sports,Hydro Flask Standard Mouth Water Bottle,3,3295,9885,Asia,Credit Card
10235,22/08/2024,Electronics,Bose QuietComfort 35 II Wireless Headphones,1,299,299,North America,Credit Card
10236,23/08/2024,Home Appliances,Nespresso Vertuo Next Coffee and Espresso Maker,1,15999,15999,Europe,PayPal
10237,24/08/2024,Clothing,Nike Air Force 1 Sneakers,3,90,270,Asia,Debit Card
10238,25/08/2024,Books,The Handmaid's Tale by Margaret Atwood,3,1099,3297,North America,Credit Card
10239,26/08/2024,Beauty Products,Sunday Riley Luna Sleeping Night Oil,1,55,55,Europe,PayPal
10240,27/08/2024,Sports,Yeti Rambler 20 oz Tumbler,2,2999,5998,Asia,Credit Card
